classification_path,name,is_group,total_printed,table_column,printed_page,india_persons,india_males,india_females
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Central Chin Sub-Group > Banjogi,Banjogi,0,1,326,481,810,430,380
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Central Chin Sub-Group > Lai,Lai,0,1,329,481,39646,19121,20525
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Central Chin Sub-Group > Lakher,Lakher,0,1,332,481,6250,3036,3214
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Central Chin Sub-Group > Lushei,Lushei,0,1,335,481,60471,28453,32018
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Central Chin Sub-Group > Pankhu,Pankhu,0,1,338,481,83,31,52
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Central Chin Sub-Group > Tashon,Tashon,0,1,341,481,20049,9467,10582
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Southern Chin Sub-Group,Southern Chin Sub-Group,1,1,344,481,66288,32733,33555
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Southern Chin Sub-Group > Chinbok,Chinbok,0,1,347,482,20195,9913,10282
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Southern Chin Sub-Group > Chinbon,Chinbon,0,1,350,482,10268,5089,5179
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Southern Chin Sub-Group > Khyang (Sho),Khyang (Sho),0,1,353,482,2825,1276,1549
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Southern Chin Sub-Group > Khami (Kumi),Khami (Kumi),0,1,356,482,32991,16449,16522
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Southern Chin Sub-Group > Yindu,Yindu,0,1,359,482,9,6,3
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group,Unclassed Chin Languages Sub-Group,1,1,362,482,69998,34807,35191
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Ánu,Ánu,0,1,365,482,3,2,1
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Chuanggyi,Chuanggyi,0,1,368,482,32,16,16
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Kaukadan,Kaukadan,0,1,371,482,294,137,157
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Lawtú,Lawtú,0,1,374,482,9725,4626,5099
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Ledu,Ledu,0,1,377,482,1719,863,856
