language_as_printed,lang_path,vol1_entry,matched_by,kind,persons,volumes
Naipali (Khas-Kura),A. Vernaculars of India (outside Assam),"Eastern Pahari, Khas-Kura or Naipali",name,,136106,assam
Kandhi (Kui),Dravidian Languages,Kandhi or Kui,name,,133682,bihar_orissa
Total Marathi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Marathi,name,,132013,cp_berar
Marathi,A. Vernaculars of India > A-(i) Languages of the Presidency,Marathi,name,,130564,madras
Brahui,A. Vernaculars of India > I. Of Baluchistan > Dravidian Family > North-Western Language,Brahui,name,,127479,baluchistan
Malvi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Rajasthani,Rajasthani,name,,126634,gwalior
Mikir,A. Vernaculars of India > Vernaculars of Assam,Mikir,name,,126457,assam
Western Hindi,A. Vernaculars of India > (i) Vernaculars of Rajputana,Western Hindi,name,,122848,ajmer
Labhani or Banjari (Naiki),A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Rajasthani > Dialects included in Rajasthani,Rajasthani,name,,120354,cp_berar
Bhumij,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,117356,bihar_orissa
Panjabi (includes Western Panjabi),A. Vernaculars of India > (II). Vernaculars of India foreign to Rajputana,Panjabi,name,,116261,rajputana
Hindustani,A. Vernaculars of India > (i) Vernaculars of Central India > Western Hindi,HU,name,,114616,cia
Kharia,Munda Languages,Kharia,name,,113680,bihar_orissa
Kachchhi,Group A. Indian Languages,Sindhi,name,,111665,bombay
Nimari (Gurvi),A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Rajasthani > Dialects included in Rajasthani,Rajasthani,name,,108743,cp_berar
Saurashtri,A. Vernaculars of India > A-(i) Languages of the Presidency,Gujarati,name,,104076,madras
Others,"A.—Languages of Bengal, Nepal and Sikkim",Others,name,,102248,bengal
Santali,A. Vernaculars of India (outside Assam),"Kherwari (Santali, Mundari, Ho, etc.)",name,,101949,assam
Jattki Sindhi,A. Vernaculars of India > I. Of Baluchistan > Outer Sub-Branch > North-Western Group > (ii) Sindhi-Branch,Sindhi,name,,97412,baluchistan
Marwari,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Rajasthani > Dialects included in Rajasthani,Rajasthani,name,,95890,cp_berar
B.-Lolo-Muhso Group,,Lolo-Muhso Group,name,,93052,burma
Pashto,Indian Vernaculars > Vernaculars of the Punjab,Pashto,name,,92554,punjab
Marathi,A. Vernaculars of India > Indo-European Family > Southern Group,Marathi,name,,91322,mysore
Rajasthani,A. Vernaculars of India > (i) Vernaculars of Central India > Rajasthani,Rajasthani,name,residual,90244,cia
Chakma,"A.—Languages of Bengal, Nepal and Sikkim > Bengali",Bengali,group,,88688,bengal
Bundelkhandi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,Western Hindi,name,,87772,gwalior
Punjabi,A—Indian Vernaculars > A (2)—Other Indian Vernaculars,Panjabi,name,,86726,nwfp
Arakanese,D.—Languages of Burma,Burmese,name,,86554,bengal
Thareli or Dhatki,Group A. Indian Languages,Sindhi,name,,84743,bombay
Miri,A.-Vernaculars of India (Vernaculars of Assam),Abor,name,,80831,assam
Punjabi,Group A. Indian Languages,Panjabi,name,,79958,bombay
Brahui,Group A. Indian Languages,Brahui,name,,79561,bombay
Mundari,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,79051,bengal
Western Hindi,A—Languages of India > I—Indo-Aryan Branch > Central Group,Western Hindi,name,,78188,baroda
Khichiwadi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Rajasthani,Rajasthani,group,,76567,gwalior
Gondi,A Vernaculars of India > Vernaculars of the State > Dravidian Family > Intermediate group,Gondi,name,,76087,hyderabad
Marwari,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Rajasthani,Rajasthani,name,,75408,cia
Malto,Dravidian Languages,Malto,name,,67451,bihar_orissa
Western Hindi,Group A—Indian Languages,Western Hindi,name,,67116,wisa
Western Hindi,A Vernaculars of India > Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Western Hindi,name,,66329,hyderabad
Tamil,A. Vernaculars of India > Vernaculars foreign to the State,Tamil,name,,66164,cochin
Shina,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Shina,Shina,name,,63918,jk
Balochi,Indian Vernaculars > Vernaculars of the Punjab,Balochi,name,,60985,punjab
Gujarati,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Gujarati,Gujarati,name,,60553,cia
Awadhi (including Purbi),A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Eastern Hindi,Eastern Hindi,name,,60119,cia
Gamtadi,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,59209,baroda
Lushei,A.-Vernaculars of India (Vernaculars of Assam),Lushei,name,,57597,assam
Banajari,A. Vernaculars of India > Indo-European Family > Central Group > Rajasthani,Rajasthani,name,,57415,mysore
Gujarati,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Gujarati,name,,57311,cp_berar
Rajasthani,A Vernaculars of India > Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Rajasthani,name,,56251,hyderabad
Marathi,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Marathi,Marathi,name,,54450,cia
Kurukh or Oraon,A. Vernaculars of India (outside Assam),Kurukh or Oraon,name,,52516,assam
English,Group C. European Languages,English,name,,52250,bombay
Pothwari,(b) Languages of India > Indo-European Family > Aryan Sub-family > Indo-Aryan Branch > Outer Sub-Branch > North-Western Group > Lahnda,Lahnda or Western Punjabi,group,,51062,jk
Thado (Kuki),A. Vernaculars of India > Vernaculars of Assam,Thado,name,,50080,assam
Lambadi,A. Vernaculars of India > A-(i) Languages of the Presidency,Rajasthani,name,,49416,madras
Gondi,A. Vernaculars of India (outside Assam),Gondi,name,,49104,assam
English,G.—European languages,English,name,,48941,bengal
English,C. European Languages,English,name,,48544,ajmer assam cochin madras rajputana
Bhilali,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Bhil Dialects,Bhili,group,,46180,gwalior
Bhatri,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Oriya > Dialect included in Oriya,Oriya,name,,45847,cp_berar
Lasi,A. Vernaculars of India > I. Of Baluchistan > Outer Sub-Branch > North-Western Group > (ii) Sindhi-Branch,Sindhi,name,,45798,baluchistan
Tulu,A. Vernaculars of India > Dravidian Family > Dravida Group,Tulu,name,,45168,mysore
Lahnda (Chabhali),Languages of the State > Outer Sub-Branch > North Western Group > Sanskrit,Lahnda or Western Punjabi,name,,44460,jk
Angami (Naga),A.-Vernaculars of India (Vernaculars of Assam),Angami,name,,43666,assam
Murmi,"A.—Languages of Bengal, Nepal and Sikkim",Murmi,name,,42642,bengal
Ladakhi,Languages of the State > Tibeto Chinese Family > Tibeto-Burman Sub-Family > Tibeto Himalayan Branch > Tibetan Group > Bhotia,Bhotia of Ladakh or Ladakhi,name,,41418,jk
Korava or Yerukala,A. Vernaculars of India > A-(i) Languages of the Presidency,Tamil,name,,40845,madras
English,European Languages,English,name,,39224,bihar_orissa punjab
Garo,B.—Languages of Assam,Garo,name,,38192,bengal
Sema (Naga),A.-Vernaculars of India (Vernaculars of Assam),Sema,name,,38146,assam
Chodhari,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,37746,baroda
Marathi (Standard),A—Languages of India > I—Indo-Aryan Branch > Marathi (Southern Group),Marathi,name,,35532,baroda
F.-Sak (Lui) Group,,Sak (Lui) Group,name,,35237,burma
English,Part C.—European Languages,English,name,,34443,up
Banjari,A. Vernaculars of India > (i) Vernaculars of Central India > Rajasthani,Rajasthani,name,,33941,cia
Gujarati,A Vernaculars of India > Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Gujarati,name,,33915,hyderabad
Arabic,Group B. (Asiatic Languages),Arabic,name,,33483,aden
Telegu,E.—Languages of other parts of India,Telugu,name,,33125,bengal
Ao (Naga),A.-Vernaculars of India (Vernaculars of Assam),Ao,name,,33117,assam
Bhili,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,name,,32827,baroda
Erakala (Kaikadi),A Vernaculars of India > Vernaculars of the State > Dravidian Family > Dravida group,Tamil,name,,31974,hyderabad
Naipali,Part B.—Vernaculars of non-Indian Asiatic Countries,"Eastern Pahari, Khas-Kura or Naipali",name,,31067,up
Telugu,A. Vernaculars of India (outside Assam),Telugu,name,,30786,assam
Telugu,Dravidian Languages,Telugu,name,,29512,bihar_orissa
Tangkhul (Naga),A. Vernaculars of India > Vernaculars of Assam,Tangkhul,name,,29100,assam
Tamil,A Vernaculars of India > Other Vernaculars of India > Dravidian Family,Tamil,name,,29050,hyderabad
Bhili,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Bhil Dialects,Bhili,name,,28951,gwalior
Kolami,A-Vernaculars of India > Dravidian family,Kolami,name,,28362,cp_berar
Gujrati,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Gujrati,Gujarati,name,,27897,gwalior
Lahuli,Indian Vernaculars > Vernaculars of the Punjab,Tibeto-Himalayan Branch,name,,27335,punjab
Bhili,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Bhili,name,residual,27257,cp_berar
Bengali,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Bengali,name,,27230,up
Panjabi,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Panjabi,name,,27105,up
Rabha,A.-Vernaculars of India (Vernaculars of Assam),Rabha,name,,27006,assam
English,Y.-European Languages,English,name,,26866,burma
Buroshaski,Unclassified Languages,Burushaski,name,,26076,jk
Kanauri,Indian Vernaculars > Vernaculars of the Punjab,Kanauri,name,,26067,punjab
Tamil,Group A. Indian Languages,Tamil,name,,26042,bombay
Limbu,"A.—Languages of Bengal, Nepal and Sikkim",Kiranti,name,,25503,bengal
Sondhi (Sondwari),A. Vernaculars of India > (i) Vernaculars of Central India > Rajasthani,Rajasthani,name,,23410,cia
Pashto,Group A. Indian Languages,Pashto,name,,23351,bombay
Lahnda or Western Punjabi,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (i) Outer Sub-Branch > North-Western Group,Lahnda or Western Punjabi,name,,23071,baluchistan
Rajasthani,Group A—Indian Languages,Rajasthani,name,,23022,wisa
Tulu,Group A. Indian Languages,Tulu,name,,22417,bombay
Konkani,A. Vernaculars of India > Vernaculars foreign to the State,Konkani,name,,22338,cochin
Dhodia,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,22210,baroda
Eastern Hindi,Group A. Indian Languages,Eastern Hindi,name,,22049,bombay
Kashmiri,Indian Vernaculars > Other Indian Vernaculars,Kashmiri,name,,21828,punjab
Hmar or Mhar,A. Vernaculars of India > Vernaculars of Assam,Mhar,name,,21583,assam
Rajasthani,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Rajasthani,name,residual,21561,cp_berar
Marathi,A. Languages of India > (2) Languages not proper to State > Indo-European Family,Marathi,name,,20557,gwalior
Koda (Kora),C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,20439,bengal
Bhadarwahi,Languages of the State > Indo-European Family > Aryan Sub-Family > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,group,,20357,jk
Gujarati,A. Vernaculars of India > (II). Vernaculars of India foreign to Rajputana,Gujarati,name,,20064,rajputana
Meithei (Manipuri),B.—Languages of Assam,Kathe (Ponna) including Meithei (Manipuri),name,,19880,bengal
Marwari,E.—Languages of other parts of India > Rajsthani,Rajasthani,name,,19772,bengal
Hindi,A. Vernaculars of India > A-(ii) Non-Presidency Languages,HU,name,,19740,madras
Punjabi,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Central Group,Panjabi,name,,19515,baluchistan
English,C. European Languages > Indo-European Family > Teutonic Group,English,name,,19194,baluchistan mysore
Other Languages,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India,A. Vernaculars of India,group,,18923,cia
Kabui (Naga),A.-Vernaculars of India (Vernaculars of Assam),Kabui,name,,18475,assam
Lhota (Naga),A.-Vernaculars of India (Vernaculars of Assam),Lhota,name,,18254,assam
C. P. Dialects,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Marathi > Dialects included in Marathi,Marathi,group,,18236,cp_berar
Khetrani,A. Vernaculars of India > I. Of Baluchistan > Outer Sub-Branch > North-Western Group > (i) Lahnda or Western Punjabi,Lahnda or Western Punjabi,group,,18232,baluchistan
Marwari,Indo-Aryan Languages,Rajasthani,name,,17883,bihar_orissa
Kachchhi,A—Languages of India > I—Indo-Aryan Branch > North West Group,Sindhi,name,,17679,baroda
Siraji,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kashmiri,Kashmiri,group,,17574,jk
Bhumij,A. Vernaculars of India (outside Assam),"Kherwari (Santali, Mundari, Ho, etc.)",name,,16797,assam
Memi (Mao) (Naga),A.-Vernaculars of India (Vernaculars of Assam),Memi (Mao),name,,16678,assam
(b) Hindustani,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Central Group > Western Hindi,HU,name,,16628,baluchistan
Konkani,A. Vernaculars of India > Indo-European Family > Southern Group,Konkani,name,,16295,mysore
Rajasthani,A. Vernaculars of India (outside Assam),Rajasthani,name,,16245,assam
Ralte,A. Vernaculars of India > Vernaculars of Assam,Ralte,name,,16163,assam
Other Asiatic Languages,Group B. Asiatic Languages,B. Vernaculars of other Asiatic countries and Africa,name,,16054,bombay
Magari,"A.—Languages of Bengal, Nepal and Sikkim",Magari,name,,14997,bengal
Kharia,C.—Languages of Bihar and Orissa,Kharia,name,,14903,bengal
Dimasa or Hills Kachari,A.-Vernaculars of India (Vernaculars of Assam),Dimasa or Hills Kachari,name,,14680,assam
Paite,A. Vernaculars of India > Vernaculars of Assam,Paite,name,,14674,assam
Juang,Munda Languages,Juang,name,,14583,bihar_orissa
Panjabi,E.—Languages of other parts of India,Panjabi,name,,14563,bengal
Kharia,A. Vernaculars of India (outside Assam),Kharia,name,,14358,assam
Unspecified Chin or Poi,A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Chin Sub-Group,name,,14191,assam
H.-Mro Group,,Mro Group,name,,14094,burma
Urdu,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,HU,name,,13934,gwalior
Abor,A.-Vernaculars of India (Vernaculars of Assam),Abor,name,,13880,assam
English,C European Languages > Teutonic group,English,name,,13819,hyderabad
Mewari,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Rajasthani,Rajasthani,name,,13735,cia
Mahili,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,13704,bihar_orissa
Sindhi,A. Vernaculars of India > (I). Vernaculars of Rajputana,Sindhi,name,,12840,rajputana
Urdu,A—Indian Vernaculars > A (2)—Other Indian Vernaculars,HU,name,,12651,nwfp
Kishtwari,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kashmiri,Kashmiri,group,,12577,jk
Korwa,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,12434,bihar_orissa
Parji (Dhurwa),A-Vernaculars of India > Dravidian family > Gondi > Dialects included in Gondi,Gondi,group,,12363,cp_berar
