language_as_printed,lang_path,vol1_entry,matched_by,kind,persons,volumes
Afgani,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Afghanistan—Balochistan Sub-Group,Eastern Group,group,,15,jk
French,Group C. (European Languages),French,name,,14,aden
French,B—Languages of other countries > II—Indo-European Family (European Group),French,name,,14,baroda
Others,E.—Languages of other parts of India,Others,name,,14,bengal
Flemish,C.—European Languages > Indo-European Family > Teutonic Group,Flemish,name,,14,travancore
Total Group D,Group D—All other languages and languages not returned,,not matched,,14,wisa
Turkish,Group B. (Asiatic Languages),Turkish,name,,13,aden
Burmese,A—Languages of India > IV—Tibeto-Burman Family,Burmese,name,,13,baroda
Kota,E.—Languages of other parts of India,Kota,name,,13,bengal
Indian unspecified,A. Vernaculars of India > Vernaculars foreign to the State,Others (Indian unspecified or Language not returned),name,,13,cochin
Koli,(b) Languages of India > Indo-European Family > Ayran Sub-Family > Indo Aryan Branch > Outer Sub-Branch > Southern Group > Marathi,Marathi,group,,13,jk
Dutch,Group C. (European Languages),Dutch,name,,12,aden
Malayalam,A. Vernaculars of India > II. Of other Parts of India > Dravidian Family > Dravida Group,Malayalam,name,,12,baluchistan
Goanese,A. Vernaculars of India > Vernaculars foreign to the State,Konkani,name,,12,cochin
Marathi,(b) Languages of India > Indo-European Family > Ayran Sub-Family > Indo Aryan Branch > Outer Sub-Branch > Southern Group > Marathi,Marathi,name,,12,jk
Tibetan,Languages of the State > Tibeto Chinese Family > Tibeto-Burman Sub-Family > Tibeto Himalayan Branch > Tibetan Group > Bhotia,Bhotia of Tibet or Tibetan,name,,12,jk
Punchi,(b) Languages of India > Indo-European Family > Aryan Sub-family > Indo-Aryan Branch > Outer Sub-Branch > North-Western Group > Lahnda,Lahnda or Western Punjabi,group,,12,jk
Malayalam,Group A—Indian Languages,Malayalam,name,,12,wisa
French,Indo-European Family > Romance Group,French,name,,11,jk
Arabic,Semitic Family,Arabic,name,,11,jk
Lahnda,A. Vernaculars of India > Indo-European Family > North-Western Group,Lahnda or Western Punjabi,name,,11,mysore
Spanish,C. European Languages > Indo-European Family > Romance Group,Spanish,name,,11,mysore
Panchali (Bhili),A. Vernaculars of India > Indo-European Family > Central Group,Bhili,name,,11,mysore
Kanarese,A. Vernaculars of India > II. Of other Parts of India > Dravidian Family > Dravida Group,Kanarese,name,,10,baluchistan
Hebrew,B. Vernaculars of other Asiatic Countries and Africa > Semitic Family,Hebrew,name,,10,baluchistan mysore
Tamil,Languages of the State > Dravidian Family > Dravida Group,Tamil,name,,10,jk
Pahari (unspecified),A. Vernaculars of India > Indo-European Family > Pahari Group,Pahari (Unspecified),name,,10,mysore
French,C. European Languages > Indo-European Family > Romanic Group,French,name,,9,baluchistan
Danish,C. European Languages > Indo-European Family > Teutonic Group,Danish,name,,9,baluchistan mysore
Italian,C. European Languages,Italian,name,,9,cochin
Sindhi,(b) Languages of India > Indo-European Family > Ayran Sub-Family > Indo Aryan Branch > Outer Sub-Branch > North Western Group > Sindhi,Sindhi,name,,9,jk
Kanjoli,Unclassified Languages,,not matched,,9,jk
Telugu,Group A. (Indian Languages),Telugu,name,,8,aden
Chinese,B. Vernaculars of Other Asiatic Countries and Africa,Chinese Group,name,,8,ajmer
Assamese,A.—Vernaculars of India,Assamese,name,,8,andaman
Parsi,A. Vernaculars of India > Vernaculars foreign to the State,A. Vernaculars of India,group,,8,cochin
Others,A-Vernaculars of India > (iv) Unclassed languages,Others,name,,8,cp_berar
German,Indo-European Family > Teutonic Group,German,name,,8,jk
Burmese,Group A—Indian Languages,Burmese,name,,8,wisa
Hebrew,B. Vernaculars of Other Asiatic Countries and Africa,Hebrew,name,,7,ajmer
Others,C. European Languages,Others,name,,7,ajmer
Turkish,B. Vernaculars of other Asiatic Countries and Africa > Mongolian Family > Ural Altaic Group,Turkish,name,,7,baluchistan
Oriya,A—Languages of India > I—Indo-Aryan Branch > Eastern Group,Oriya,name,,7,baroda
Singhalese,B. Vernaculars of Asiatic Countries beyond India,Sinhalese,name,,7,cochin
Perne,Unclassified Languages,,not matched,,7,jk
Bashgali,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Kafir Group,Bashgali,name,,7,jk
African,Vernaculars of other Asiatic Countries and Africa,B. Vernaculars of other Asiatic countries and Africa,group,,7,punjab
Italian,C.—European Languages > Indo-European Family > Romance Group,Italian,name,,7,travancore
Singhalese,Group B. (Asiatic Languages),Sinhalese,name,,6,aden
Sharpa Bhotia,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Tibetan Group,Tibetan Group,group,,6,baluchistan
Pendhari,A—Languages of India > VI—Gipsy Languages,,not matched,,6,baroda
Turkish,B—Languages of other countries > IV—Mongolian Family,Turkish,name,,6,baroda
Dutch,B—Languages of other countries > II—Indo-European Family (European Group),Dutch,name,,6,baroda
Bhatia,E.—Languages of other parts of India > Sindhi,Sindhi,group,,6,bengal
Spanish,C. European Languages,Spanish,name,,6,cochin
Telegu,Languages of the State > Dravidian Family > Andhra Group,Telugu,name,,6,jk
Bhuttani,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo Aryan Branch > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,group,,6,jk
Balochi,A. Vernaculars of India > Indo-European Family > Eastern Group,Balochi,name,,6,mysore
Hebrew,B—Languages of other countries > III—Semitic Family,Hebrew,name,,5,baroda
Pasi,"A.—Languages of Bengal, Nepal and Sikkim > Hindustani",HU,group,,5,bengal
Italian,Indo-European Family > Romance Group,Italian,name,,5,jk
Japanese,B. Vernaculars of other Asiatic Countries and Africa > Mongolian Family > Japanese Group,Japanese,name,,5,mysore
Armenian,B. Vernaculars of other Asiatic Countries and Africa > Indo-European Family > Armenian Group,Armenian,name,,5,mysore
Sindhi,Group A. (Indian Languages),Sindhi,name,,4,aden
Pahari (unspecified),A.—Vernaculars of India,Pahari (Unspecified),name,,4,andaman
Basque,C. European Languages,Basque,name,,4,cochin
Kashmiri,A. Languages of India > (2) Languages not proper to State > Indo-European Family,Kashmiri,name,,4,gwalior
Balochi,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Afghanistan—Balochistan Sub-Group,Balochi,name,,4,jk
Javanese,Malayo-Polynesian Family > Malayan Group,Malayan Group,group,,4,jk
Pathani,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Afghanistan—Balochistan Sub-Group,Eastern Group,group,,4,jk
Astori,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Shina,Shina,group,,4,jk
Others,B. Vernaculars of Other Asiatic Countries and Africa,Others,name,,3,ajmer
Spanish,C. European Languages > Indo-European Family > Romanic Group,Spanish,name,,3,baluchistan
Eastern Hindi (Awadhi),A—Languages of India > I—Indo-Aryan Branch > Mediate Group,Eastern Hindi,name,,3,baroda
Kashmiri and Chitrali,A—Languages of India > II—Dardic Branch,Kashmiri,name,,3,baroda
Bengali,A. Vernaculars of India > Vernaculars foreign to the State,Bengali,name,,3,cochin
Pashto,A. Vernaculars of India > Vernaculars foreign to the State,Pashto,name,,3,cochin
Syriac,B. Vernaculars of Asiatic Countries beyond India,Syriac,name,,3,cochin
Total Bhili,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Bhili,name,,3,cp_berar
Kachwahi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,Western Hindi,group,,3,gwalior
Sipari,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Rajasthani,Rajasthani,group,,3,gwalior
Purbi,(b) Languages of India > Indo-European Family > Ayran Sub-Family > Indo Aryan Branch > Mediate Sub-Branch > Mediate Group > Eastern Hindi,Eastern Hindi,name,,3,jk
Chinese,Mongolian Family > Monosyllabic or Chinese Group,Chinese Group,name,,3,jk
Burmese,(b) Languages of India > Tibeto-Chinese Family > Tibeto Burma Sub-family > Assam Burmese Branch > Burma Group,Burmese,name,,3,jk
Russian,Indo-European Family > Balto Slavenic Group,"Slavonic (Russian, Polish and Others)",name,,3,jk
Hespian,Unclassified Languages,,not matched,,3,jk
Mirpuri,Unclassified Languages,,not matched,,3,jk
Moyani,Unclassified Languages,,not matched,,3,jk
Burmese,A. Vernaculars of India > Tibeto-Chinese Family > Burma Group,Burmese,name,,3,mysore
Memani,A. Vernaculars of India > Indo-European Family > Central Group > Gujarathi,Sindhi,name,,3,mysore
Chinese,B.—Vernaculars of Asiatic Countries other than India > Tibeto-Chinese Family,Chinese Group,name,,3,travancore
Gaelic (Scotch),C.—European Languages > Indo-European Family > Celtic Group,Gaelic (Scotch),name,,3,travancore
Balochi,Group A. (Indian Languages),Balochi,name,,2,aden
Malayan,Group B. (Asiatic Languages),,not matched,,2,aden
Danish,Group C. (European Languages),Danish,name,,2,aden
Russian,Group C. (European Languages),"Slavonic (Russian, Polish and Others)",name,,2,aden
Turkish,B. Vernaculars of Other Asiatic Countries and Africa,Turkish,name,,2,ajmer
Naipali,A.—Vernaculars of India,"Eastern Pahari, Khas-Kura or Naipali",name,,2,andaman
Sikkim Bhotia,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Tibetan Group,Tibetan Group,group,,2,baluchistan
Rong or Lepcha,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Non-Pronominalized Himalayan Group,Rong or Lepcha,name,,2,baluchistan
Agaria,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",group,,2,bengal
Birhar,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",group,,2,bengal
Sylhettia,"A.—Languages of Bengal, Nepal and Sikkim > Bengali",Bengali,group,,2,bengal
Flemish,C. European Languages,Flemish,name,,2,cochin
German,C. European Languages,German,name,,2,cochin
German,C. European Languages > Indo-European Family,German,name,,2,gwalior
Narnoli,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Punjabi,Panjabi,group,,2,gwalior
Peshawari,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Afghanistan—Balochistan Sub-Group,Eastern Group,group,,2,jk
Matrai,Assam-Burmese Branch > Bara or Budo Group,Assam-Burmese Branch,group,,2,jk
Danish,Indo-European Family > Teutonic Group,Danish,name,,2,jk
Spanish,Indo-European Family > Romance Group,Spanish,name,,2,jk
Moyali,Unclassified Languages,,not matched,,2,jk
Kashgari,Languages of the State > Tibeto Chinese Family > Tibeto-Burman Sub-Family > Tibeto Himalayan Branch > Tibetan Group > Bhotia,Bhotia (Others),group,,2,jk
French,C.—European Languages > Indo-European Family > Romance Group,French,name,,2,travancore
Norwegian,C.—European Languages > Indo-European Family > Teutonic Group,Norwegian,name,,2,travancore
Syriac,B.—Vernaculars of Asiatic Countries other than India > Semitic Family,Syriac,name,,2,travancore
Burmese,Group A. (Indian Languages),Burmese,name,,1,aden
Sanskrit,Group A. (Indian Languages),Sanskrit,name,,1,aden
Armenian,Group B. (Asiatic Languages),Armenian,name,,1,aden
Swedish,Group C. (European Languages),Swedish,name,,1,aden
Arabic,B.—Vernaculars of other Asiatic countries,Arabic,name,,1,andaman
French,C.—European languages,French,name,,1,andaman
Swedish,C.—European languages,Swedish,name,,1,andaman
German,C.—European languages,German,name,,1,andaman
Italian,C. European Languages > Indo-European Family > Romanic Group,Italian,name,,1,baluchistan
Armenian,B. Vernaculars of other Asiatic Countries and Africa > Eranian Branch > Armenian Group,Armenian,name,,1,baluchistan
Javanese,B. Vernaculars of other Asiatic Countries and Africa > Malayo-Polynesian Family > Malayan Group,Malayan Group,group,,1,baluchistan
Sinhalese,B—Languages of other countries > I—Indo-Aryan Branch (Southern Group),Sinhalese,name,,1,baroda
Italian,B—Languages of other countries > II—Indo-European Family (European Group),Italian,name,,1,baroda
Slavonic-Russian,B—Languages of other countries > II—Indo-European Family (European Group),"Slavonic (Russian, Polish and Others)",name,,1,baroda
Marwari,A. Vernaculars of India > Vernaculars foreign to the State,Rajasthani,name,,1,cochin
Japanese,B. Vernaculars of Asiatic Countries beyond India,Japanese,name,,1,cochin
Persian,B. Vernaculars of Asiatic Countries beyond India,Persian,name,,1,cochin
Gaelic,C. European Languages,Gaelic (Scotch),name,,1,cochin
Welsh,C. European Languages,Welsh,name,,1,cochin
Sanskrit,(b) Languages of India > Tibeto-Chinese Family > Tibeto Burma Sub-family > Sanskrit Sub-Branch > Sanskrit Group,Sanskrit,name,,1,jk
Gaelic,Indo-European Family > Celtic Group,Gaelic (Scotch),name,,1,jk
Yaseni,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Khowar Group,Khowar Group,group,,1,jk
Sanskrit,Languages of the State > Outer Sub-Branch > North Western Group > Sanskrit,Sanskrit,name,,1,jk
Normal,Unclassified Languages,,not matched,,1,jk
Rooski,Unclassified Languages,,not matched,,1,jk
Dutch,Indo-European Family > Teutonic Group,Dutch,name,,1,jk
Portuguese,Indo-European Family > Romance Group,Romance Group,group,,1,jk
Karnatith,Unclassified Languages,,not matched,,1,jk
Khapli,Languages of the State > Tibeto Chinese Family > Tibeto-Burman Sub-Family > Tibeto Himalayan Branch > Tibetan Group > Bhotia,Bhotia (Others),group,,1,jk
Punyali,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Khowar Group,Khowar Group,group,,1,jk
Lahuli,Tibeto-Burman Sub-Family > Western Branch,Tibeto-Himalayan Branch,name,,1,jk
Mishkeen,Unclassified Languages,,not matched,,1,jk
Goun,Unclassified Languages,,not matched,,1,jk
Tibetan,A. Vernaculars of India > Tibeto-Chinese Family > Tibetan Group,Bhotia of Tibet or Tibetan,name,,1,mysore
Bihari,A. Vernaculars of India > Indo-European Family > Eastern Group,Bihari,name,,1,mysore
Russian,C. European Languages > Indo-European Family > Balto-Slavonic Group,"Slavonic (Russian, Polish and Others)",name,,1,mysore
Hungarian,C. European Languages > Mongolian Family > Ural-altic Group,Hungarian,name,,1,mysore
Naipālī,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,"Eastern Pahari, Khas-Kura or Naipali",name,,1,travancore
Shekhawati,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Rajasthani,Rajasthani,group,,0,gwalior
Portuguese,C. European Languages > Indo-European Family,Indo-European Family,group,,0,gwalior
